Datum,Uhrzeit,Geschlecht,Alter,OS,Smartphone Nutzung,Smartphone Nutzungserfahrung,Zeit gesamt,Richtig,Falsch,Ishihara 42,Ishihara 3,Ishihara Linien,Ishihara Dauer,Z1,R1,Z2,R2,Z3,R3,Z4,R4,Z5,R5,Z6,R6,Z7,R7,Z8,R8,Z9,R9,Z10,R10,Z11,R11,Z12,R12,Z13,R13,Z14,R14,Z15,R15,Z16,R16,Z17,R17,Z18,R18,Z19,R19,Z20,R20,Z21,R21,Z22,R22,Z23,R23,Z24,R24,Z25,R25,Z26,R26,Z27,R27,Z28,R28,Z29,R29,Z30,R30,Z31,R31,Z32,R32,Z33,R33,Z34,R34,Z35,R35,Z36,R36,Z37,R37,Z38,R38,Z39,R39,Z40,R40,Z41,R41,Z42,R42,Z43,R43,Z44,R44,Z45,R45,Z46,R46,Z47,R47,Z48,R48,Z49,R49,Z50,R50,Z51,R51,Z52,R52,Z53,R53,Z54,R54,Z55,R55,Z56,R56,Z57,R57,Z58,R58,Z59,R59,Z60,R60,Z61,R61,Z62,R62,Z63,R63,Z64,R64,Z65,R65,Z66,R66,Z67,R67,Z68,R68,Z69,R69,Z70,R70,Z71,R71,Z72,R72,Z73,R73,Z74,R74,Z75,R75,Z76,R76,Z77,R77,Z78,R78,Z79,R79,Z80,R80,Z81,R81,Z82,R82,Z83,R83,Z84,R84,Z85,R85,Z86,R86,Z87,R87,Z88,R88,Z89,R89,Z90,R90,Z91,R91,Z92,R92,Z93,R93,Z94,R94,Z95,R95,Z96,R96,Z97,R97,Z98,R98,Z99,R99,Z100,R100
06.07.2021,15:36,f,51-60,iOS,mehrmals täglich,sicher,0:04:20.958000,98,2,42,3,keine,0:00:41.965000,3381,2,2725,2,2651,2,3982,3,2915,1,3007,1,4226,8,4700,8,2005,1,2778,2,2972,3,2575,3,2917,8,2502,2,2903,8,2683,3,2310,8,3197,8,2891,8,2710,8,2252,1,2673,3,2250,8,2758,1,2057,3,3033,3,2475,1,2000,1,2124,8,2577,2,4373,3,1948,1,1942,8,2582,1,1958,1,2483,1,1982,2,2694,8,2326,1,1975,8,2239,8,2417,1,2572,8,2520,2,1709,3,2030,3,3080,8,2312,2,2616,8,2708,3,3894,3,1947,8,5490,2,2449,8,1593,1,2524,2,3733,8,2034,8,2008,3,1832,8,2623,2,2462,3,3730,2,1789,1,2033,1,1900,3,2876,8,2816,8,2401,2,2182,1,1966,1,2258,3,1893,3,2808,8,3158,1,3157,3,2183,2,1977,1,3622,2,2300,3,2249,1,2695,8,2366,8,1890,2,2051,2,2484,1,2576,3,2447,1,3669,2,4221,2,2367,2,1899,3,1817,3,1908,1,2073,3,3627,2,3281,1,2509,1,2482,8,1993,3
06.07.2021,21:33,m,11-20,Android,mehrmals täglich,sehr sicher,0:03:57.826000,98,2,42,3,keine,0:00:18.364000,1913,8,1590,4,6114,3,3341,1,1722,8,1790,1,2342,3,1883,2,2759,8,1720,2,2780,1,2594,1,2400,1,3088,1,2624,8,3944,2,2008,3,3893,3,5957,8,3385,5,4671,2,3621,8,2902,8,2323,3,2853,8,1707,1,2587,3,1947,8,2307,2,1780,8,1305,8,1415,8,1967,1,1942,3,1867,1,1954,3,1821,8,1993,8,1523,8,2272,2,3013,1,4621,1,3656,1,1290,8,1408,8,1660,8,1467,1,2181,1,1657,8,1825,2,1562,2,1967,2,2287,2,2281,3,1571,8,1732,3,1565,1,2066,3,2453,1,3134,1,1273,8,2763,8,3548,2,2107,8,2132,8,1990,2,2948,8,1340,8,1869,1,1695,8,3073,2,2463,2,2831,1,2471,8,1890,2,2332,3,3112,1,2754,2,1506,2,2178,1,1823,1,1136,1,1348,1,1738,1,2741,2,1639,1,1943,1,2026,3,1541,3,1632,1,3591,1,3086,2,1338,1,2982,3,2063,3,1560,1,3361,2,2651,1,4398,3,2497,2
07.07.2021,08:52,m,41-50,iOS,mehrmals täglich,sehr sicher,0:02:49.484000,97,3,42,3,keine,0:00:23.219000,1494,1,1332,2,2033,1,1717,2,1719,3,1248,1,1634,8,1248,8,1434,8,1550,1,1632,2,1700,5,3951,8,1850,1,1515,1,1885,3,1466,2,1834,3,1283,3,1467,2,1781,1,1651,1,1299,1,1919,2,1816,1,1482,3,1652,1,1198,3,1468,1,1217,4,2699,8,1699,1,1517,8,3084,2,2448,8,1384,8,1917,2,1500,8,1667,2,1450,3,2316,2,1334,1,1349,3,1269,8,1199,2,1767,1,1566,3,1717,3,1367,3,1766,3,1583,1,1983,2,1501,8,1334,3,2299,1,1517,3,1384,1,1382,1,1617,2,1449,2,1768,8,2133,8,1433,2,2167,2,2199,2,1383,3,1235,1,1515,3,1250,1,1118,2,1850,1,2534,2,1150,1,4049,8,4817,3,1116,1,1583,3,1801,1,1233,2,1766,3,1517,3,1033,2,1800,3,1900,3,1633,1,1201,2,1199,8,1283,8,1201,8,1750,2,2367,8,2165,2,1069,8,1432,8,1384,3,1282,2,1568,8,1981,2,1485,2,1582,8
07.07.2021,08:52,f,21-30,Android,mehrmals täglich,sicher,0:04:55.446000,98,2,42,3,keine,0:00:48.775000,4634,8,2428,4,11345,8,6573,3,3108,2,4199,2,10898,8,3209,8,2860,2,3842,1,2916,2,5787,2,2671,3,2658,1,2792,3,2318,8,3096,8,3354,2,6405,2,4959,3,2824,8,3741,3,6262,2,4459,1,1777,1,2957,1,2449,3,1705,8,2446,3,3179,8,2013,8,2250,8,2383,8,2403,2,3749,1,2787,3,3264,1,1688,8,3514,8,1963,1,1794,8,2371,3,1826,3,1975,2,2386,3,1843,1,1822,1,2156,2,1670,1,1536,3,1572,1,1908,1,2500,2,2485,8,1738,8,1954,1,4727,8,3007,3,1773,2,1407,3,6009,1,3078,2,2560,4,2829,1,2906,8,4044,2,1816,8,1993,1,1628,2,1877,2,2106,1,2156,1,1812,3,2261,1,2186,8,1886,2,7592,1,2249,2,4022,1,4002,3,3700,8,1603,1,1827,3,1357,1,2429,3,2225,1,1715,2,2248,2,3246,8,3843,3,2443,8,2464,1,1743,3,1675,1,2575,1,1491,2,2752,2,2065,1,2406,3,1909,8
07.07.2021,09:21,f,21-30,iOS,mehrmals täglich,sehr sicher,0:04:06.726000,93,7,42,3,keine,0:00:42.284000,1758,8,1321,5,4928,1,3367,8,2290,2,2749,1,2710,8,2801,8,2837,2,2401,1,1613,1,1147,1,1439,4,6378,1,2118,3,3430,3,5538,2,1996,3,3983,2,1787,1,1401,1,1467,2,1761,3,1849,8,2133,3,1941,8,2074,2,2156,1,1752,1,1899,2,5016,1,1759,3,1766,2,2967,3,2074,2,6278,3,1499,7,1449,3,1339,8,1826,8,1583,2,1399,3,1666,8,1987,3,3120,1,2293,8,1707,1,2451,1,1360,3,2032,2,2300,2,2041,2,2007,8,2549,8,1468,4,10500,8,1402,7,1770,8,1668,3,1943,1,2305,1,3660,3,1938,3,1250,1,2033,4,5668,3,1712,2,2171,1,3666,2,2795,2,2638,8,2027,8,2724,3,3365,3,1542,2,5486,2,2797,1,2173,3,2175,3,2070,8,1780,8,1840,8,1593,1,2017,8,7368,2,1733,3,3565,2,2000,1,1989,3,1477,2,1885,3,1305,2,2368,8,1792,3,2500,2,1920,8,1851,1,2300,8,1767,1,1226,2
07.07.2021,09:46,f,41-50,iOS,täglich,sicher,0:05:38.423000,99,1,42,3,keine,0:01:05.797000,2098,1,2148,1,2759,3,2057,2,1607,1,2336,2,2105,2,2468,3,4574,2,1789,1,1665,3,1878,1,1972,8,2210,3,2907,1,1899,2,2942,1,1305,8,4370,1,1833,1,1649,8,5766,2,2917,2,2861,2,1599,1,1973,1,4415,3,1463,3,7898,2,11623,2,2892,8,6086,8,3854,8,14313,2,1712,8,3556,2,2384,3,11783,3,2313,8,4146,8,1586,1,3888,1,2049,2,2434,1,7959,8,1974,3,6749,1,2398,2,2785,1,6417,8,2132,2,3415,2,1299,1,1935,2,1499,3,3010,2,8816,1,5434,8,4615,8,8949,8,11791,3,1615,2,3442,1,2818,5,3706,2,2734,8,1333,1,1724,1,3518,3,3941,3,1814,8,1978,1,2118,8,2560,1,2462,2,5068,1,7598,8,1333,1,1433,1,3218,2,1725,8,1983,1,4901,8,1514,3,1459,3,2161,2,2897,2,3141,8,2966,2,2416,3,3117,3,3881,1,1884,8,1794,8,3016,3,2873,8,1842,1,1918,3,2255,2,2993,3
07.07.2021,11:07,m,21-30,Android,mehrmals täglich,sehr sicher,0:03:34.029000,95,5,42,3,keine,0:01:05.185000,1783,1,1910,1,2374,5,1525,8,2599,3,2400,3,2163,3,1617,3,1530,3,3468,2,2799,1,3185,2,2077,1,1596,1,1731,3,2256,2,1777,7,1665,2,2388,3,2087,8,1922,2,1752,2,2373,2,3055,1,3937,1,2707,2,1906,3,3292,8,2846,3,2049,1,2109,3,2367,1,2154,2,2446,1,2057,2,2276,2,1690,1,3726,2,2210,3,2855,1,2161,1,2610,1,2208,2,3257,8,2023,8,2430,2,2296,2,2461,2,3059,8,2563,8,1804,2,1695,8,1654,1,2233,1,1873,2,2559,8,1750,3,1950,4,1675,2,1600,1,1546,8,2835,3,1544,3,1484,2,1731,2,1794,1,1488,1,1623,8,2666,3,1604,2,1867,7,1499,2,1809,2,1766,8,1569,5,2681,3,1905,3,1779,2,2169,2,2248,2,1585,2,1718,3,2045,1,1663,2,2068,3,1824,3,2034,1,1536,8,2409,3,2744,8,1586,8,2239,1,2645,1,1540,8,2083,3,1758,3,1708,8,2926,2,1777,8,1823,8
07.07.2021,11:14,m,21-30,Android,mehrmals täglich,sehr sicher,0:02:29.419000,93,7,42,3,keine,0:00:19.036000,1829,2,2630,3,1451,2,1793,2,1357,3,1736,3,1795,2,1341,3,1134,3,2468,2,1242,1,2288,8,1729,2,1585,1,1609,3,1308,1,1476,4,1476,1,1526,2,1300,3,1305,3,1270,1,1083,1,2283,1,1154,1,1036,1,1368,2,1259,3,1637,8,1792,8,1207,8,1403,3,1196,3,1186,3,1378,2,1863,3,1754,3,1831,2,2027,8,1217,2,1387,8,1749,2,2113,1,1428,8,1584,2,1222,1,2167,3,1166,8,1226,1,1080,4,1821,8,1353,8,1550,8,2001,8,1664,3,1346,3,1870,3,1347,3,1189,8,1186,2,1251,1,1889,1,1252,2,1277,1,1153,8,1228,8,1396,1,1275,1,1121,2,1293,2,1768,8,1963,3,1396,3,1135,3,1101,3,986,3,1032,1,1690,3,1401,8,2255,8,1136,8,1597,8,1099,3,1070,1,1171,1,1577,8,1346,8,1061,2,1152,2,1386,1,1291,4,2250,2,1641,8,1403,7,1544,8,1245,3,2450,8,1902,3,1149,8,1226,8
07.07.2021,11:35,f,21-30,iOS,mehrmals täglich,sehr sicher,0:03:08.242000,95,5,42,3,98,0:00:39.046000,1563,1,4927,2,2062,1,3073,2,2563,8,2010,3,1871,1,1528,1,1549,1,1827,5,2223,2,1816,3,2136,8,1684,3,1279,3,2204,1,1783,2,2088,3,1280,1,1628,3,1717,2,2286,2,1917,3,1893,2,2209,2,1502,8,1449,1,1402,3,1678,2,2026,2,1478,1,1760,8,1382,8,1242,1,1406,1,1330,7,1478,8,1862,3,1619,3,1636,3,1553,8,1575,1,2076,2,1295,1,3324,2,2077,3,1516,8,2060,3,1840,8,1568,1,1523,4,2093,3,1268,1,1206,2,2066,3,2059,2,3422,2,1743,2,2210,3,1677,8,2209,2,2409,8,1576,8,1608,3,1319,3,1296,2,1507,1,1711,1,3359,3,1368,8,1800,8,3960,2,2073,2,2071,3,1833,2,1411,8,1594,1,2110,8,1838,1,1398,8,1806,1,1548,2,2623,8,1269,8,2055,3,1711,8,1498,3,1276,8,2092,2,2183,2,1274,2,2277,1,2788,3,1487,1,1627,3,2658,8,1590,2,1445,2,2033,3,2021,1
07.07.2021,11:51,f,21-30,iOS,mehrmals täglich,sehr sicher,0:03:15.406000,98,2,42,3,keine,0:00:42.045000,3291,8,4822,2,2681,8,3119,2,2550,2,3211,2,2185,2,1881,8,1689,3,1950,8,1884,3,1966,8,1693,1,1873,2,1594,8,1550,1,3988,8,1634,8,1732,2,1510,3,1722,8,1883,1,1949,8,1995,8,1422,3,1633,8,1877,8,4732,2,1456,8,1201,1,1661,8,1788,3,1444,1,1600,8,1556,1,1610,3,2932,8,2451,2,1484,8,1781,2,1917,8,1506,1,1660,2,1606,8,1651,2,1850,2,2077,8,1683,3,1882,1,1673,2,1577,2,1723,3,1916,8,1378,1,1365,2,1433,8,2352,3,1387,2,1727,3,1623,1,1551,1,1626,1,1823,3,2510,2,1556,1,1494,3,2673,3,1650,1,1432,1,1483,1,2761,1,1690,4,2849,1,1744,8,1768,1,1488,3,1327,3,2199,3,1366,1,1583,1,1807,3,1933,2,1544,8,1539,3,1360,2,1824,2,3110,8,6166,1,1881,1,1402,3,1781,1,1650,8,2184,3,1233,3,1201,1,1599,3,1356,2,1700,1,2912,1,1672,3
